createdAt,facilityId,co2e,fuelHint,ch4,n2o,ef,co2,month,month_sin,month_cos,anomaly_score,rolling_threshold
2025-01-20 06:20:02.209000+00:00,25eca3c8-5832-4fb9-90d4-d7d3dca639c1,1.448296,,0.000144,2.1e-05,0.532462,1.438696,1,0.49999999999999994,0.8660254037844387,0.1946819822086377,0.19704542388530344
2025-01-20 06:20:04.937000+00:00,25eca3c8-5832-4fb9-90d4-d7d3dca639c1,4.110604,,0.00041,6e-05,0.532462,4.083357,1,0.49999999999999994,0.8660254037844387,0.1936753399358897,0.1946819822086377
2025-01-20 06:20:04.937000+00:00,25eca3c8-5832-4fb9-90d4-d7d3dca639c1,4.110604,,0.00041,6e-05,0.532462,4.083357,1,0.49999999999999994,0.8660254037844387,0.1936753399358897,0.1946819822086377
2025-01-20 06:20:04.937000+00:00,25eca3c8-5832-4fb9-90d4-d7d3dca639c1,4.110604,,0.00041,6e-05,0.532462,4.083357,1,0.49999999999999994,0.8660254037844387,0.1936753399358897,0.1946819822086377
2025-01-20 06:20:08.649000+00:00,25eca3c8-5832-4fb9-90d4-d7d3dca639c1,4.068007,,0.000405,5.9e-05,0.532462,4.041042,1,0.49999999999999994,0.8660254037844387,0.1936753399358897,0.1946819822086377
2025-01-20 06:20:08.649000+00:00,25eca3c8-5832-4fb9-90d4-d7d3dca639c1,4.068007,,0.000405,5.9e-05,0.532462,4.041042,1,0.49999999999999994,0.8660254037844387,0.1936753399358897,0.1946819822086377
2025-01-20 06:20:08.649000+00:00,25eca3c8-5832-4fb9-90d4-d7d3dca639c1,4.068007,,0.000405,5.9e-05,0.532462,4.041042,1,0.49999999999999994,0.8660254037844387,0.1936753399358897,0.1946819822086377
2025-01-20 06:20:48.333000+00:00,2ffa4cd4-4960-4bf6-8840-e0eaf595f6a3,0.192751,,1.9e-05,3e-06,0.532462,0.191473,1,0.49999999999999994,0.8660254037844387,0.19281882356140945,0.1936753399358897
2025-01-20 06:20:48.333000+00:00,2ffa4cd4-4960-4bf6-8840-e0eaf595f6a3,0.192751,,1.9e-05,3e-06,0.532462,0.191473,1,0.49999999999999994,0.8660254037844387,0.19281882356140945,0.1936753399358897
2025-01-20 06:20:48.333000+00:00,2ffa4cd4-4960-4bf6-8840-e0eaf595f6a3,0.192751,,1.9e-05,3e-06,0.532462,0.191473,1,0.49999999999999994,0.8660254037844387,0.19281882356140945,0.1936753399358897
2025-01-20 06:20:48.892000+00:00,2ffa4cd4-4960-4bf6-8840-e0eaf595f6a3,0.142167,,1.4e-05,2e-06,0.532462,0.141225,1,0.49999999999999994,0.8660254037844387,0.19281882356140945,0.1936753399358897
2025-01-20 06:20:48.892000+00:00,2ffa4cd4-4960-4bf6-8840-e0eaf595f6a3,0.142167,,1.4e-05,2e-06,0.532462,0.141225,1,0.49999999999999994,0.8660254037844387,0.19281882356140945,0.1936753399358897
2025-01-20 06:20:48.892000+00:00,2ffa4cd4-4960-4bf6-8840-e0eaf595f6a3,0.142167,,1.4e-05,2e-06,0.532462,0.141225,1,0.49999999999999994,0.8660254037844387,0.19281882356140945,0.1936753399358897
2025-01-20 06:24:48.591000+00:00,06330262-618b-4881-b13a-4631cc3047e6,152.587859,,0.01778,0.002302,0.541092,151.479876,1,0.49999999999999994,0.8660254037844387,0.17862720168601504,0.19281882356140945
2025-01-20 06:24:48.591000+00:00,06330262-618b-4881-b13a-4631cc3047e6,152.587859,,0.01778,0.002302,0.541092,151.479876,1,0.49999999999999994,0.8660254037844387,0.17862720168601504,0.19281882356140945
2025-01-20 06:24:48.591000+00:00,06330262-618b-4881-b13a-4631cc3047e6,152.587859,,0.01778,0.002302,0.541092,151.479876,1,0.49999999999999994,0.8660254037844387,0.17862720168601504,0.19281882356140945
2025-01-20 06:24:49.546000+00:00,06330262-618b-4881-b13a-4631cc3047e6,169.361702,,0.019734,0.002556,0.541092,168.131919,1,0.49999999999999994,0.8660254037844387,0.17862720168601504,0.19281882356140945
